Sample ID,Description
no1900a,Norway 1900
no1910a,Norway 1910
np2001a,Nepal 2001
np2011a,Nepal 2011
pa1960a,Panama 1960
pa1970a,Panama 1970
pa1980a,Panama 1980
pa1990a,Panama 1990
pa2000a,Panama 2000
pa2010a,Panama 2010
pe1993a,Peru 1993
pe2007a,Peru 2007
pg1980a,Papua New Guinea 1980
pg1990a,Papua New Guinea 1990
pg2000a,Papua New Guinea 2000
ph1990a,Philippines 1990
ph1995a,Philippines 1995
ph2000a,Philippines 2000
ph2010a,Philippines 2010
pk1973a,Pakistan 1973
pk1981a,Pakistan 1981
pk1998a,Pakistan 1998
pl1978a,Poland 1978
pl1988a,Poland 1988
pl2002a,Poland 2002
pl2011a,Poland 2011
pr1970a,Puerto Rico 1970
pr1980a,Puerto Rico 1980
pr1990a,Puerto Rico 1990
pr2000a,Puerto Rico 2000
pr2005a,Puerto Rico 2005
pr2010a,Puerto Rico 2010
ps1997a,Palestine 1997
ps2007a,Palestine 2007
ps2017a,Palestine 2017
pt1981a,Portugal 1981
pt1991a,Portugal 1991
pt2001a,Portugal 2001
pt2011a,Portugal 2011
py1962a,Paraguay 1962
py1972a,Paraguay 1972
py1982a,Paraguay 1982
py1992a,Paraguay 1992
py2002a,Paraguay 2002
ro1977a,Romania 1977
ro1992a,Romania 1992
ro2002a,Romania 2002
ro2011a,Romania 2011
ru2002a,Russia 2002
ru2010a,Russia 2010
rw1991a,Rwanda 1991
rw2002a,Rwanda 2002
rw2012a,Rwanda 2012
sd2008a,Sudan 2008
se1880a,Sweden 1880
se1890a,Sweden 1890
se1900a,Sweden 1900
se1910a,Sweden 1910
si2002a,Slovenia 2002
sk1991a,Slovak Republic 1991
sk2001a,Slovak Republic 2001
sk2011a,Slovak Republic 2011
sl2004a,Sierra Leone 2004
sl2015a,Sierra Leone 2015
sn1988a,Senegal 1988
sn2002a,Senegal 2002
sn2013a,Senegal 2013
sr2004a,Suriname 2004
sr2012a,Suriname 2012
ss2008a,South Sudan 2008
sv1992a,El Salvador 1992
sv2007a,El Salvador 2007
tg1960a,Togo 1960
tg1970a,Togo 1970
tg2010a,Togo 2010
th1970a,Thailand 1970
th1980a,Thailand 1980
th1990a,Thailand 1990
th2000a,Thailand 2000
tr1985a,Turkey 1985
tr1990a,Turkey 1990
tr2000a,Turkey 2000
tt1970a,Trinidad and Tobago 1970
tt1980a,Trinidad and Tobago 1980
tt1990a,Trinidad and Tobago 1990
tt2000a,Trinidad and Tobago 2000
tt2011a,Trinidad and Tobago 2011
tz1988a,Tanzania 1988
tz2002a,Tanzania 2002
tz2012a,Tanzania 2012
ua2001a,Ukraine 2001
ug1991a,Uganda 1991
ug2002a,Uganda 2002
ug2014a,Uganda 2014
uk1851a,United Kingdom 1851 [England and Wales]
uk1851b,United Kingdom 1851 [Scotland]
uk1851c,United Kingdom 1851 [Great Britain]
uk1861a,United Kingdom 1861 [England and Wales]
uk1861b,United Kingdom 1861 [Scotland]
uk1871b,United Kingdom 1871 [Scotland]
uk1881a,United Kingdom 1881 [England and Wales]
uk1881b,United Kingdom 1881 [Scotland]
uk1891a,United Kingdom 1891 [England and Wales]
uk1891b,United Kingdom 1891 [Scotland]
uk1901a,United Kingdom 1901 [England and Wales]
uk1901b,United Kingdom 1901 [Scotland]
uk1911a,United Kingdom 1911 [England and Wales]
uk1991a,United Kingdom 1991
uk2001a,United Kingdom 2001
us1850a,United States 1850 (100%)
us1850b,United States 1850 (1%)
us1860a,United States 1860
us1870a,United States 1870
us1880a,United States 1880 (100%)
us1880b,United States 1880 (10%)
us1900a,United States 1900
us1910a,United States 1910
us1960a,United States 1960
us1970a,United States 1970
us1980a,United States 1980
us1990a,United States 1990
us2000a,United States 2000
us2005a,United States 2005
us2010a,United States 2010
us2015a,United States 2015
uy1963a,Uruguay 1963
uy1975a,Uruguay 1975
uy1985a,Uruguay 1985
uy1996a,Uruguay 1996
uy2006a,Uruguay 2006
uy2011a,Uruguay 2011
ve1971a,Venezuela 1971
ve1981a,Venezuela 1981
ve1990a,Venezuela 1990
ve2001a,Venezuela 2001
vn1989a,Vietnam 1989
vn1999a,Vietnam 1999
vn2009a,Vietnam 2009
za1996a,South Africa 1996
za2001a,South Africa 2001
za2007a,South Africa 2007
za2011a,South Africa 2011
za2016a,South Africa 2016
zm1990a,Zambia 1990
zm2000a,Zambia 2000
zm2010a,Zambia 2010
zw2012a,Zimbabwe 2012
